booking_state,sync_status,projection_lifecycle,participation_lifecycle,classification,owner,rationale,policy_ref
CONFIRMED,PENDING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,TOMBSTONED_HARD,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,TOMBSTONED_HARD,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,ACTIVE,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,ACTIVE,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,ACTIVE,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,ACTIVE,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_HARD,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PROCESSING,TOMBSTONED_HARD,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,SYNCED,ACTIVE,NEEDS_ACTION,LEGAL_STEADY,booking-service,confirmed_synced_active_happy_path,structural
CONFIRMED,SYNCED,ACTIVE,ACCEPTED,LEGAL_STEADY,booking-service,confirmed_synced_active_happy_path,structural
CONFIRMED,SYNCED,ACTIVE,TENTATIVE,LEGAL_STEADY,booking-service,confirmed_synced_active_happy_path,structural
CONFIRMED,SYNCED,ACTIVE,DECLINED,LEGAL_STEADY,booking-service,declined_participation_does_not_autocancel,product
CONFIRMED,SYNCED,TOMBSTONED_SOFT,NEEDS_ACTION,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,SYNCED,TOMBSTONED_SOFT,ACCEPTED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,SYNCED,TOMBSTONED_SOFT,TENTATIVE,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
